Model,MAE,MSE,RMSE,R2 Score
Extra Trees,0.0060438068253409255,0.00023318651340579203,0.015270445750068726,0.983253499888065
Random Forest,0.008215890323434746,0.00035481595004994163,0.018836558869654022,0.9745185720201257
XGBoost,0.010879373045207223,0.0006065586901345004,0.024628412253624887,0.956439439726276
Decision Tree,0.010266084328825864,0.0006442775464407362,0.02538262292279378,0.9537306259868844
Gradient Boosting,0.017721725566485155,0.0007521810238648164,0.027425918833556266,0.9459814402798363
Linear Regression,0.05336661549246721,0.005261866188844721,0.07253872199621883,0.6221143262812454
Ridge Regression,0.05336870915548994,0.0052619383313212715,0.07253921926324594,0.6221091453041212
Lasso Regression,0.053622430252102365,0.005279404520014548,0.07265951087101087,0.6208547951848327
